"Gender","Age","WorkType","Position","V1","V2r","V3","V4","V5","V6","V7","SDS1r","SDaw2","SDS3r","SDaw4","SDS5r","SDaw6","SDS7r","SDaw8","SDS9r","SDaw10","MF1","MF2","MF3","MF4","MF5","MF6","MF7","MF8","MF9","MF10","MF11","MF12","MF13","MF14","MF15","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","mach1","mach2","mach3","mach4","mach5","mach6","mach7","mach8","mach9","narc1","narc2","narc3","narc4","narc5","narc6","narc7","narc8","narc9","psy1","psy2","psy3","psy4","psy5","psy6","psy7","psy8","psy9","Energia","Uvedomovanie","Agentnost","Sustredenost","Smerovanie","Tlak","Vazby","Zdatnost","Pochybnosti","Izolacia","Zdroje","Bariery","Presadzovanie","Potreba_uznania","Indiferentnost","AgeCLASS1","AgeCLASS2","AgeCLASS3","weight1","weight2","weight3","ZGender","ZAge","ZWorkType","ZPosition","ZVitality","ZSelf_Awareness","ZChoice_Perception","ZMindfulness","ZS_Autonomy","ZF_Autonomy","ZS_Relatedness","ZS_Competency","ZF_Competency","ZF_Relatedness","ZNeeds_satisfaction","ZNeeds_frustration","ZMachiavellianism","ZNarcissism","ZPsychopathy"
1,38,0,1,6,6,4,6,6,5,5,4,5,4,4,5,5,5,5,4,5,6,2,6,5,6,2,4,4,5,6,5,3,6,5,6,5,1,5,1,4,1,5,1,5,1,4,1,5,3,5,1,4,2,2,2,3,2,4,2,4,2,4,4,2,1,2,5,4,3,4,4,4,4,2,1,2,5,1,1,1,3,4,1,1,1,1,5.42857142857143,4.8,4.4,4.73333333333333,4.25,1.75,4.5,4,1.5,1.25,4.25,1.5,3.11111111111111,3.22222222222222,1.55555555555556,NA,2,NA,NA,0.4,NA,0.929926776408983,0.493886409497852,-0.586045735337861,1.47100939725204,0.532027759566745,0.741152717452809,0.798427992719102,0.745995577626427,0.413571608167739,-0.826758815021189,0.601500176224951,-0.265539965184297,-0.682419486010652,-0.60513362606556,0.291516471047402,-0.858863950851121,0.329255987477649,0.68719321194078,-0.653407959787912
0,30,0,0,5,6,2,5,6,5,4,4,2,3,4,4,4,4,3,4,4,4,5,3,2,4,2,4,4,4,5,5,6,5,5,4,4,3,1,4,3,2,2,3,3,3,4,2,2,2,2,3,4,2,4,2,3,3,3,2,2,2,1,1,1,1,2,2,3,2,3,1,1,3,3,1,2,2,1,3,1,2,2,1,2,1,1,4.71428571428571,3.4,3.8,4.13333333333333,3,2.5,2.25,3.5,2,3.25,2.91666666666667,2.58333333333333,1.66666666666667,2,1.55555555555556,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.468432579581917,-0.586045735337861,-0.678645233146201,-0.0826573096487748,-1.15305815294683,0.177624626420926,-0.0163335594403852,-1.19567781006795,-0.0188421964512869,-2.43711278298039,-0.903271193044936,-0.159677239210338,1.83833445231114,-1.7965342795565,0.598335509635255,-1.61816024901672,-1.04992343283187,-0.653407959787912
1,32,0,0,3,2,2,2,2,2,2,2,1,3,3,4,4,5,5,5,4,6,6,4,3,2,2,3,4,4,5,4,4,2,5,3,3,2,4,2,4,2,3,3,3,1,5,2,3,1,4,1,5,2,4,2,4,2,5,2,4,1,2,2,4,1,3,1,5,2,1,1,1,3,1,4,1,4,1,2,1,1,3,1,1,1,1,2.14285714285714,3.4,3.8,3.8,3.25,2,3.75,4.75,2,1.5,3.91666666666667,1.83333333333333,2.55555555555556,2,1.33333333333333,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,-2.29552355882464,-1.15305815294683,0.177624626420926,-0.439849746699726,-0.873827926420811,-0.557453275497888,-0.411370810176828,0.691056876606663,-0.159677239210338,-0.299700116268473,-0.230496216603575,-0.410494886086082,-0.419750257327877,-1.04992343283187,-0.982498689857284
0,34,0,1,5,5,6,4,6,4,4,3,3,2,3,3,3,3,3,2,3,4,5,4,4,4,3,4,4,3,4,5,4,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,4.85714285714286,3,2.6,3.93333333333333,3.25,3,3,3,3,2.75,3.08333333333333,2.91666666666667,3,3.33333333333333,2.77777777777778,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.0127269149579675,-0.586045735337861,1.47100939725204,0.0402797041943286,-1.69426125877529,-1.06398210617542,-0.27044327179599,-0.873827926420811,0.519768882595314,-1.42424179657861,-1.54100242090558,0.88580725439029,1.22746743271697,-1.53552793573102,1.04670457440029,0.179454738516544,0.845112906920112,1.15659105559364
1,23,1,0,6,7,6,6,5,3,4,3,4,4,5,5,4,5,5,5,5,5,4,3,1,4,1,6,4,6,6,4,6,4,5,6,5,2,4,1,3,3,3,1,4,1,3,1,4,4,4,1,5,3,4,1,5,1,4,3,3,4,1,3,3,1,2,3,4,4,5,1,4,3,4,1,3,3,1,4,1,4,1,1,1,3,1,5.28571428571429,4.6,4.4,4.33333333333333,4,2,4.25,3.75,2.5,1,4,1.83333333333333,2.66666666666667,3.11111111111111,1.88888888888889,1,NA,NA,0.46,NA,NA,0.929926776408983,-1.31046169502671,1.70343960404871,-0.678645233146201,0.40909074572364,0.470551164538575,0.798427992719102,0.237776152915218,0.0917217245206013,-0.557453275497888,0.263876514091025,-0.584405579114617,0.363065007589976,-0.910567135862648,-0.0999930446908302,-0.410494886086082,-0.269949008366771,0.529273516961449,-0.159771864683853
1,41,0,1,7,4,7,7,7,5,7,3,2,5,5,5,5,5,5,5,5,4,5,6,5,4,5,3,5,2,6,1,5,4,5,5,5,1,5,1,5,1,4,1,5,3,5,3,5,5,5,1,5,2,5,5,5,1,5,1,3,4,3,1,2,1,2,3,1,5,2,1,1,5,2,1,3,5,1,4,1,5,3,1,1,1,3,6.28571428571429,4.4,4.6,4.33333333333333,4.75,3,5,5,1.75,1.5,4.91666666666667,2.08333333333333,2.22222222222222,2.77777777777778,2.22222222222222,NA,2,NA,NA,0.4,NA,0.929926776408983,0.854756030402765,-0.586045735337861,1.47100939725204,1.26964984262537,0.199949611624342,1.00536244815183,0.237776152915218,1.05727137546201,0.519768882595314,1.2767475004928,1.00992249053698,-0.421048362610495,-0.299700116268473,1.33554184634936,-0.074218087512303,-0.869154004211191,0.0555144320234535,0.333864230420206
0,35,0,0,5,3,6,6,4,5,5,2,2,2,2,3,5,1,4,2,4,3,6,5,2,2,1,2,2,3,2,2,2,2,2,1,4,4,4,3,5,1,4,4,4,4,5,5,5,4,3,2,4,1,3,4,2,2,5,3,5,4,5,5,5,3,5,5,4,3,2,1,2,5,1,3,1,5,1,4,5,1,5,2,3,5,1,4.85714285714286,3.4,2,2.46666666666667,4,4,3.25,4.75,2.5,2.75,4,3.08333333333333,4.55555555555556,2.55555555555556,3,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.133016788592939,-0.586045735337861,-0.678645233146201,0.0402797041943286,-1.15305815294683,-1.6847854724736,-2.13391449573709,0.0917217245206013,1.59699104068852,-1.08661813444468,0.691056876606663,0.363065007589976,1.22746743271697,-0.0999930446908302,1.27088910678281,2.27667222397201,-0.26032495793521,1.48568178566301
0,37,1,0,7,7,7,7,7,4,4,5,5,5,5,5,4,5,5,5,5,4,6,4,3,1,2,5,3,3,5,2,4,6,5,6,5,5,3,5,3,1,5,1,5,1,4,5,5,5,5,1,5,1,5,1,5,1,5,1,3,1,3,3,3,1,3,2,4,3,1,1,1,1,1,1,5,1,3,5,1,4,5,3,5,1,3,6.14285714285714,4.8,5,3.93333333333333,5,3,4.5,4.25,2,2,4.58333333333333,2.33333333333333,2.55555555555556,1.66666666666667,3.33333333333333,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.373596535862881,1.70343960404871,-0.678645233146201,1.14671282878226,0.741152717452809,1.41923135901728,-0.27044327179599,1.37912125910915,0.519768882595314,0.601500176224951,0.0533256487460231,-0.159677239210338,0.311166903325703,0.813529158698379,0.262058711061476,-0.419750257327877,-1.52368251776986,1.97931788076707
1,24,0,0,7,6,7,7,6,5,7,5,5,5,5,5,5,5,5,5,5,6,3,6,1,4,1,5,5,4,5,4,6,2,6,6,5,2,5,1,5,1,5,5,5,1,5,1,5,3,5,1,5,1,5,4,5,1,5,1,5,2,1,4,4,1,5,1,5,3,3,3,4,4,3,1,3,4,1,4,1,4,5,2,1,1,1,6.42857142857143,5,5,4.26666666666667,5,3.5,5,5,1,1,5,1.83333333333333,3.11111111111111,3.11111111111111,2.22222222222222,1,NA,NA,0.46,NA,NA,0.929926776408983,-1.19017182139174,-0.586045735337861,-0.678645233146201,1.39258685646847,1.01175427036704,1.41923135901728,0.15307291546335,1.37912125910915,1.05837996164192,1.2767475004928,1.00992249053698,-1.20516173281097,-0.910567135862648,1.4660450182621,-0.410494886086082,0.329255987477649,0.529273516961449,0.333864230420206
1,32,0,0,3,1,1,1,2,1,2,4,5,1,3,4,4,1,5,2,5,1,1,2,1,2,1,1,1,2,1,1,5,2,1,4,3,2,4,1,4,3,3,4,3,1,3,3,3,4,4,1,3,3,3,3,5,1,3,3,5,3,3,4,5,2,3,2,1,2,3,1,1,2,4,1,1,1,1,3,3,4,3,3,1,3,2,1.57142857142857,4.4,2.4,1.73333333333333,3,3.25,4,3.25,3,1,3.41666666666667,2.41666666666667,3.11111111111111,1.77777777777778,2.55555555555556,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,-2.78727161419706,0.199949611624342,-1.27091656160815,-3.06565010770764,-1.19567781006795,0.789074422118615,-0.0737471480429018,-1.22213680697526,0.88580725439029,-0.910567135862648,-1.01351524808004,0.374150977252735,0.329255987477649,-1.36576282279053,0.827500325524265
1,39,1,0,6,3,5,5,7,1,4,4,5,5,5,2,5,2,5,5,5,3,6,2,2,6,1,6,5,5,6,6,6,2,5,6,5,1,5,5,3,2,5,2,5,4,2,5,5,5,2,1,4,3,5,4,3,1,5,5,4,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,4.42857142857143,5,3.6,4.46666666666667,5,3,3.75,3.5,3.75,2.75,4.08333333333333,3.16666666666667,1.77777777777778,1.55555555555556,1.88888888888889,NA,2,NA,NA,0.4,NA,0.929926776408983,0.614176283132823,1.70343960404871,-0.678645233146201,-0.328531337334982,1.01175427036704,-0.0293098290117988,0.407182627818955,1.37912125910915,0.519768882595314,-0.411370810176828,-0.903271193044936,1.66992062459076,1.22746743271697,0.0305101272219135,1.38298137297407,-1.46835900005561,-1.68160221274919,-0.159771864683853
0,34,0,0,6,4,1,5,4,4,3,5,4,4,4,4,5,5,5,4,5,6,4,3,1,5,2,3,3,4,5,3,3,2,4,5,4,2,4,3,3,3,3,1,4,2,5,2,3,4,3,2,3,3,3,4,3,3,3,2,5,1,3,3,3,1,2,3,5,2,2,2,3,3,3,1,3,4,3,4,1,2,4,2,1,1,1,3.85714285714286,4.6,4.4,3.53333333333333,3.25,2.75,3.5,3.5,2.5,2.5,3.41666666666667,2.58333333333333,2.88888888888889,2.55555555555556,2.11111111111111,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.0127269149579675,-0.586045735337861,-0.678645233146201,-0.820279392707398,0.470551164538575,0.798427992719102,-0.778662696507198,-0.873827926420811,0.250463343072014,-0.748994472310755,-0.903271193044936,0.363065007589976,0.922033922919878,-1.01351524808004,0.598335509635255,0.0296534895554387,-0.26032495793521,0.16931886538552
1,23,1,0,5,6,6,5,4,2,3,4,5,4,5,2,5,3,5,4,4,3,5,4,2,1,1,3,3,6,4,5,3,2,4,6,4,2,5,1,5,2,4,2,4,1,5,2,3,1,5,1,1,2,4,1,5,1,5,1,3,3,4,4,4,3,4,3,5,2,4,4,3,4,2,1,4,5,3,3,3,4,2,5,1,1,1,4.42857142857143,4.8,3.4,3.46666666666667,3.75,1.5,4.75,4,1.75,1,4.16666666666667,1.41666666666667,3.66666666666667,3.22222222222222,2.55555555555556,1,NA,NA,0.46,NA,NA,0.929926776408983,-1.31046169502671,1.70343960404871,-0.678645233146201,-0.328531337334982,0.741152717452809,-0.236244284444524,-0.863365933959066,-0.230128159126536,-1.09606435454449,0.939123838358878,-0.265539965184297,-0.421048362610495,-0.910567135862648,0.161013299134659,-0.970956217042381,1.07826223228317,0.68719321194078,0.827500325524265
0,33,0,0,5,3,4,5,7,6,6,3,5,4,4,5,5,3,5,4,5,4,3,5,4,4,3,5,5,3,4,3,5,5,6,6,5,3,3,3,4,2,3,3,4,2,5,3,4,3,4,3,3,2,4,3,3,2,4,4,4,3,3,4,4,5,4,3,3,3,2,3,2,3,2,2,1,2,2,2,2,2,4,4,5,3,2,5.14285714285714,4.8,3.8,4.33333333333333,4,3,3.5,4,2.75,2.5,3.83333333333333,2.75,3.66666666666667,2.22222222222222,2.88888888888889,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.107562958677004,-0.586045735337861,-0.678645233146201,0.286153731880537,0.741152717452809,0.177624626420926,0.237776152915218,0.0917217245206013,0.519768882595314,-0.748994472310755,-0.265539965184297,0.624436130990133,0.922033922919878,-0.360999388516318,0.822520042017774,1.07826223228317,-0.734084042873204,1.32113642062832
1,32,0,0,5,4,1,4,5,3,3,3,4,3,3,3,4,2,4,3,4,3,3,3,2,3,1,3,4,4,4,3,5,1,4,4,3,4,2,2,2,4,2,3,5,3,4,4,4,4,4,1,3,4,4,4,4,3,3,2,4,1,2,3,2,1,4,4,3,1,4,1,2,4,1,1,2,3,1,1,1,1,2,2,1,4,2,3.57142857142857,3.8,2.8,3.13333333333333,3.25,3.75,3.75,3,3.5,2.25,3.33333333333333,3.16666666666667,2.66666666666667,2.11111111111111,1.66666666666667,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,-1.06615342039361,-0.61185504711836,-0.8570476507427,-1.28688212121841,-0.873827926420811,1.32768550116522,-0.411370810176828,-1.54100242090558,1.4085495011906,0.61660041312279,-1.14401841999278,1.38298137297407,-0.269949008366771,-0.892003737852536,-0.488862594753225
0,39,0,0,6,6,4,7,7,5,6,5,1,3,3,5,5,5,5,4,5,4,5,5,5,4,1,6,6,6,5,5,6,4,5,6,5,1,3,1,3,3,5,1,5,1,4,5,5,5,5,3,4,4,4,1,3,1,4,1,5,2,1,4,1,1,3,1,1,1,1,2,3,2,2,2,5,1,1,1,1,1,2,1,5,1,1,5.85714285714286,3.8,4.4,4.86666666666667,4.75,2,4,3.75,3.25,1.5,4.16666666666667,2.25,2.11111111111111,2.11111111111111,1.55555555555556,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.614176283132823,-0.586045735337861,-0.678645233146201,0.900838801096056,-0.61185504711836,0.798427992719102,0.915402052530162,1.05727137546201,-0.557453275497888,-0.0737471480429018,-0.584405579114617,1.14717837779045,-0.299700116268473,0.161013299134659,0.149966444870216,-1.0189552531723,-0.892003737852536,-0.653407959787912
0,37,1,0,7,7,7,7,7,5,7,1,2,2,5,5,5,1,1,1,5,3,6,3,3,3,1,4,6,2,5,2,2,5,5,6,4,3,5,1,5,1,4,4,5,1,5,3,5,5,4,1,5,1,5,1,5,1,5,1,5,2,5,3,5,1,5,1,5,3,1,1,1,3,1,1,1,5,1,5,1,1,1,5,4,1,1,6.71428571428571,3.6,2,3.73333333333333,4.5,3.25,4.75,5,1.5,1,4.75,1.91666666666667,3.55555555555556,1.88888888888889,2.22222222222222,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.373596535862881,1.70343960404871,-0.678645233146201,1.63846088415468,-0.882456600032593,-1.6847854724736,-0.524552984151594,0.735421491814876,0.789074422118615,0.939123838358878,1.00992249053698,-0.682419486010652,-0.910567135862648,1.07453550252387,-0.298402619894822,0.928460983322069,-1.2078431278112,0.333864230420206
1,28,0,0,4,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,2,3,2,4,3,3,3,5,3,3,3,2,4,1,4,2,3,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,4,2,3,3,3,3,2,3,3,4,2,2,2,4,2,2,1,2,4,2,4,3,3,2,2,3,4,4,3.42857142857143,2.2,2,3,2.75,2.5,2.5,1.75,3.5,3.25,2.33333333333333,3.08333333333333,2.88888888888889,2.33333333333333,3,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.709012326851859,-0.586045735337861,-0.678645233146201,-1.18909043423671,-2.77666747043223,-1.6847854724736,-1.45628859612214,-1.51752769371509,-0.0188421964512869,-2.09948912084646,-3.13533049055718,1.4085495011906,1.83833445231114,-2.71005648294571,1.27088910678281,0.0296534895554387,-0.576164347893873,1.48568178566301
0,33,0,0,6,6,7,5,6,5,4,3,2,4,4,3,5,4,5,4,5,4,5,6,2,5,2,4,3,1,3,5,5,5,5,6,3,5,3,1,4,1,4,1,5,1,5,5,2,5,3,2,5,2,4,2,4,2,5,2,4,1,2,5,5,5,3,3,4,2,5,4,3,4,2,1,4,2,5,3,2,2,4,4,4,5,2,5.57142857142857,4.2,3.6,4.06666666666667,3.25,3.25,3.75,4.75,2.5,1.5,3.91666666666667,2.41666666666667,3.55555555555556,3,3.44444444444444,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.107562958677004,-0.586045735337861,-0.678645233146201,0.654964773409848,-0.0706519412898917,-0.0293098290117988,-0.101036796892254,-0.873827926420811,0.789074422118615,-0.411370810176828,0.691056876606663,0.363065007589976,-0.299700116268473,-0.230496216603575,0.374150977252735,0.928460983322069,0.371353821982117,2.14386324580176
1,37,0,0,6,6,5,6,6,4,5,4,5,4,5,4,5,4,5,4,5,5,3,5,4,4,2,4,4,5,3,3,5,4,3,4,4,2,4,2,5,1,4,1,5,1,5,1,4,3,4,1,5,1,4,2,5,1,5,2,5,3,4,4,4,5,3,4,5,3,4,3,3,4,3,2,3,4,4,2,5,2,3,4,1,1,2,5.42857142857143,5,4,3.86666666666667,4,2,4.5,5,1.25,1.25,4.5,1.5,4.11111111111111,3.22222222222222,2.66666666666667,NA,2,NA,NA,0.4,NA,0.929926776408983,0.373596535862881,-0.586045735337861,-0.678645233146201,0.532027759566745,1.01175427036704,0.384559081853652,-0.355146509247858,0.0917217245206013,-0.557453275497888,0.601500176224951,1.00992249053698,-0.943790609410809,-0.60513362606556,0.683025986785635,-0.858863950851121,1.67746722812759,0.68719321194078,0.992045690558951
1,45,0,1,5,5,3,5,6,5,5,4,4,4,4,4,5,4,4,4,5,4,5,5,2,2,1,3,3,2,5,3,4,4,5,3,4,4,4,1,5,1,4,2,4,2,5,1,5,3,4,1,5,1,4,3,4,2,5,1,4,4,5,2,4,4,5,4,4,4,4,3,4,2,4,3,4,4,3,4,2,2,4,3,1,2,3,4.85714285714286,4.4,4,3.4,4.25,3,4,5,1,1.5,4.41666666666667,1.83333333333333,4,3.55555555555556,2.66666666666667,NA,NA,3,NA,NA,2.7,0.929926776408983,1.33591552494265,-0.586045735337861,1.47100939725204,0.0402797041943286,0.199949611624342,0.384559081853652,-0.948069171410934,0.413571608167739,0.519768882595314,-0.0737471480429018,1.00992249053698,-1.20516173281097,-0.299700116268473,0.552522814872891,-0.410494886086082,1.52766597916649,1.16095229687877,0.992045690558951
1,36,0,0,7,7,5,7,7,4,4,5,2,5,3,5,4,5,5,5,5,4,6,6,6,4,4,4,5,5,4,5,6,6,6,4,5,1,4,1,5,1,4,1,3,1,5,3,5,1,3,1,5,1,5,1,5,1,5,1,1,1,1,1,1,1,2,1,3,5,3,3,3,2,3,3,3,1,1,4,1,3,3,1,1,1,1,5.85714285714286,3.8,5,5,4.75,1,3.75,5,1.5,1,4.5,1.16666666666667,1.33333333333333,2.88888888888889,1.77777777777778,NA,2,NA,NA,0.4,NA,0.929926776408983,0.25330666222791,-0.586045735337861,-0.678645233146201,0.900838801096056,-0.61185504711836,1.41923135901728,1.0848085274339,1.05727137546201,-1.63467543359109,-0.411370810176828,1.00992249053698,-0.682419486010652,-0.910567135862648,0.683025986785635,-1.30723301561616,-2.06756399590003,0.213434127002785,-0.324317229718539
1,34,0,1,6,6,1,6,7,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,4,5,1,3,6,2,3,5,5,6,6,6,5,3,4,1,5,1,5,1,5,1,5,1,4,5,4,1,5,1,5,2,4,1,5,4,5,2,2,5,5,1,5,3,5,3,4,1,1,5,3,1,3,4,1,2,1,1,3,4,1,2,1,5.14285714285714,4.6,5,4.53333333333333,4.75,2.75,4.25,5,1.75,1,4.66666666666667,1.83333333333333,3.66666666666667,2.77777777777778,1.77777777777778,NA,2,NA,NA,0.4,NA,0.929926776408983,0.0127269149579675,-0.586045735337861,1.47100939725204,0.286153731880537,0.470551164538575,1.41923135901728,0.491885865270822,1.05727137546201,0.250463343072014,0.263876514091025,1.00992249053698,-0.421048362610495,-0.910567135862648,0.944032330611124,-0.410494886086082,1.07826223228317,0.0555144320234535,-0.324317229718539
1,28,1,0,4,3,2,2,5,2,2,5,1,3,5,4,4,3,4,3,4,3,6,3,1,3,1,4,4,6,6,4,6,3,4,6,4,3,2,5,4,3,5,3,2,5,4,2,5,5,4,4,4,3,3,3,3,2,3,1,5,3,3,5,4,2,5,4,4,3,1,1,1,5,1,2,2,5,2,2,1,2,5,3,1,2,2,2.85714285714286,3.6,3.6,4,4.25,3.5,2.75,3.75,2.25,4,3.58333333333333,3.25,3.88888888888889,2.33333333333333,2.22222222222222,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.709012326851859,1.70343960404871,-0.678645233146201,-1.68083848960913,-0.882456600032593,-0.0293098290117988,-0.185740034344122,0.413571608167739,1.05837996164192,-1.76186545871253,-0.584405579114617,0.101693884189819,2.7546349817024,-0.752508904254551,1.49507363916533,1.37786473020538,-0.576164347893873,0.333864230420206
1,31,0,0,7,2,5,7,5,6,6,4,4,3,5,5,5,3,5,5,5,5,6,6,1,3,2,6,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,3,5,1,5,1,5,4,5,1,5,1,4,3,3,4,2,1,1,1,1,3,4,3,3,5,2,1,4,1,1,4,1,1,1,1,1,1,1,5.42857142857143,4.8,4,4.6,5,2.25,5,5,1,1,5,1.41666666666667,2.22222222222222,2.88888888888889,1.33333333333333,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.348142705946946,-0.586045735337861,-0.678645233146201,0.532027759566745,0.741152717452809,0.384559081853652,0.57658910272269,1.37912125910915,-0.288147735974587,1.2767475004928,1.00992249053698,-1.20516173281097,-0.910567135862648,1.4660450182621,-0.970956217042381,-0.869154004211191,0.213434127002785,-0.982498689857284
1,36,0,0,6,4,5,7,6,4,6,4,5,4,5,5,5,4,1,3,4,2,5,6,6,6,4,2,6,5,6,2,5,6,6,6,5,2,4,2,5,1,4,1,5,1,5,1,5,1,5,1,5,1,3,1,4,1,5,1,2,1,1,1,1,1,3,1,1,1,3,1,2,1,2,1,1,4,1,3,1,1,1,1,1,1,1,5.42857142857143,4,4,4.86666666666667,4.25,1.25,4.5,5,1,1.25,4.58333333333333,1.16666666666667,1.33333333333333,1.77777777777778,1.22222222222222,NA,2,NA,NA,0.4,NA,0.929926776408983,0.25330666222791,-0.586045735337861,-0.678645233146201,0.532027759566745,-0.341253494204126,0.384559081853652,0.915402052530162,0.413571608167739,-1.36536989406779,0.601500176224951,1.00992249053698,-1.20516173281097,-0.60513362606556,0.813529158698379,-1.30723301561616,-2.06756399590003,-1.36576282279053,-1.14704405489197
1,33,0,1,6,5,6,6,7,4,5,5,5,5,4,4,5,4,3,4,4,1,6,3,2,1,2,4,5,5,5,3,6,6,5,3,4,3,1,4,3,5,4,1,1,3,2,1,5,5,1,2,4,4,5,3,5,5,5,3,2,4,4,5,1,1,5,2,5,4,1,1,1,3,1,1,2,2,1,1,1,1,2,1,1,1,4,5.57142857142857,4.2,4.4,3.8,4.5,3,2,3.5,3.25,3.5,3.33333333333333,3.25,3.22222222222222,1.77777777777778,1.44444444444444,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.107562958677004,-0.586045735337861,1.47100939725204,0.654964773409848,-0.0706519412898917,0.798427992719102,-0.439849746699726,0.735421491814876,0.519768882595314,-2.77473644511431,-0.903271193044936,1.14717837779045,2.14376796210823,-1.14401841999278,1.49507363916533,0.479057236438754,-1.36576282279053,-0.817953324822598
1,43,1,0,4,3,5,3,4,3,3,4,3,4,4,5,5,5,4,5,4,5,5,5,1,5,1,4,5,5,5,3,6,1,4,5,5,2,2,4,3,4,4,2,5,3,3,2,5,4,4,2,4,4,4,3,3,2,4,2,4,1,3,4,1,1,4,4,3,1,2,1,2,3,1,2,4,2,1,1,1,3,4,1,1,2,1,3.57142857142857,4,4.6,4,4.5,2.75,3.5,3.5,3,2.75,3.83333333333333,2.83333333333333,2.77777777777778,2,1.66666666666667,NA,2,NA,NA,0.4,NA,0.929926776408983,1.09533577767271,1.70343960404871,-0.678645233146201,-1.06615342039361,-0.341253494204126,1.00536244815183,-0.185740034344122,0.735421491814876,0.250463343072014,-0.748994472310755,-0.903271193044936,0.88580725439029,1.22746743271697,-0.360999388516318,0.934612308209034,-0.120147759405666,-1.04992343283187,-0.488862594753225
0,32,0,0,6,6,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,6,5,3,1,1,5,4,1,6,2,5,6,6,1,5,1,4,1,4,2,5,1,5,1,4,2,5,1,5,1,5,1,5,2,5,2,4,1,2,5,5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,5,3,3,5.42857142857143,5,5,3.66666666666667,5,1.25,4.75,4.25,1.5,1.25,4.66666666666667,1.33333333333333,2.22222222222222,3,2.11111111111111,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.227852832311975,-0.586045735337861,-0.678645233146201,0.532027759566745,1.01175427036704,1.41923135901728,-0.609256221603462,1.37912125910915,-1.36536989406779,0.939123838358878,0.0533256487460231,-0.682419486010652,-0.60513362606556,0.944032330611124,-1.08304848323364,-0.869154004211191,0.371353821982117,0.16931886538552
0,33,0,0,4,4,1,4,4,1,1,1,5,1,3,3,4,1,2,1,5,5,3,5,5,4,2,3,4,4,3,2,5,2,3,5,3,4,4,2,4,2,3,4,4,1,4,3,3,4,5,3,4,2,3,5,4,1,5,1,5,5,5,3,4,5,5,3,4,3,1,2,3,5,3,1,4,5,5,2,4,4,4,3,5,1,3,2.71428571428571,3.8,1.4,3.66666666666667,3,4.25,4.25,4.25,2,1.75,3.83333333333333,2.66666666666667,4.33333333333333,3,3.44444444444444,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.107562958677004,-0.586045735337861,-0.678645233146201,-1.80377550345223,-0.61185504711836,-2.30558883877178,-0.609256221603462,-1.19567781006795,1.86629658021182,0.263876514091025,0.0533256487460231,-0.159677239210338,0.005733393528615,-0.360999388516318,0.710427775826514,1.9770697260498,0.371353821982117,2.14386324580176
